solution;cost;deviation ;time;generations;init_time;params;method
[20, 10, 12, 28, 7, 35, 11, 36, 19, 15, 6, 9, 25, 34, 30, 14, 17, 18, 16, 39, 13, 31, 0, 38, 29, 22, 3, 26, 21, 32, 1, 2, 27, 5, 8, 24, 4, 23, 33, 37];3143250;0.12;300.328;20;0.199;[560, 12800, 0];ROTS
[35, 30, 32, 12, 13, 34, 9, 29, 37, 7, 36, 39, 3, 38, 15, 33, 5, 28, 11, 8, 20, 22, 1, 23, 21, 14, 24, 26, 16, 17, 25, 19, 6, 10, 18, 31, 27, 2, 0, 4];3151446;0.38;300.471;20;0.231;[160, 8000, 0];ROTS
[11, 36, 24, 3, 15, 34, 0, 1, 9, 14, 19, 38, 28, 4, 18, 27, 31, 32, 12, 26, 33, 13, 8, 6, 20, 23, 30, 5, 7, 21, 37, 17, 10, 35, 25, 22, 39, 2, 16, 29];3141702;0.07;300.538;20;0.21;[400, 8823, 0];ROTS
[12, 24, 22, 26, 37, 8, 13, 1, 2, 19, 20, 6, 3, 35, 31, 21, 5, 27, 11, 15, 23, 34, 29, 33, 39, 38, 30, 17, 7, 14, 9, 28, 18, 10, 36, 16, 32, 25, 0, 4];3150274;0.35;300.226;20;0.182;[160, 14400, 0];ROTS
[0, 37, 7, 28, 4, 16, 13, 2, 32, 29, 6, 22, 8, 31, 33, 20, 35, 9, 10, 39, 3, 21, 1, 5, 11, 17, 36, 24, 34, 12, 15, 30, 38, 23, 25, 27, 19, 26, 14, 18];3151138;0.37;303.721;20;0.186;[629, 12800, 0];ROTS
[5, 36, 6, 29, 19, 13, 32, 0, 9, 1, 31, 38, 26, 22, 20, 39, 11, 21, 4, 7, 23, 34, 27, 16, 18, 33, 30, 14, 24, 2, 25, 17, 10, 12, 28, 15, 3, 37, 35, 8];3145656;0.2;303.326;20;0.733;[240, 5345, 0];ROTS
[9, 14, 20, 31, 34, 11, 3, 18, 33, 17, 32, 36, 2, 7, 24, 38, 30, 39, 13, 27, 15, 29, 23, 1, 16, 19, 26, 22, 12, 21, 37, 6, 5, 10, 28, 25, 8, 0, 4, 35];3148290;0.28;303.488;20;0.898;[530, 2215, 0];ROTS
[25, 37, 7, 18, 26, 0, 28, 31, 8, 11, 19, 14, 22, 32, 2, 12, 4, 29, 21, 17, 39, 33, 13, 10, 3, 30, 1, 9, 38, 23, 20, 27, 5, 34, 36, 35, 15, 16, 6, 24];3161356;0.7;30.973;20;0.37;[760, 14400, 0];ROTS
[1, 20, 27, 5, 29, 4, 26, 10, 7, 12, 39, 36, 23, 9, 16, 0, 17, 25, 37, 14, 30, 8, 38, 18, 22, 21, 33, 13, 15, 31, 28, 11, 6, 32, 24, 2, 19, 34, 3, 35];3158300;0.6;61.265;20;0.466;[782, 14400, 0];ROTS
[32, 18, 33, 31, 35, 3, 38, 27, 25, 4, 30, 0, 29, 7, 36, 21, 19, 13, 20, 24, 10, 34, 1, 16, 17, 28, 2, 23, 9, 11, 26, 5, 22, 8, 6, 15, 39, 37, 14, 12];3156688;0.55;61.637;20;0.559;[558, 6400, 0];ROTS
[18, 38, 23, 10, 3, 34, 39, 17, 5, 24, 27, 6, 28, 29, 26, 31, 37, 9, 1, 21, 11, 8, 22, 20, 14, 2, 7, 13, 33, 36, 30, 32, 25, 35, 19, 12, 16, 4, 0, 15];3153202;0.44;61.712;20;0.554;[760, 4800, 0];ROTS
[1, 18, 13, 28, 39, 33, 37, 23, 17, 11, 27, 14, 10, 7, 0, 9, 20, 31, 36, 22, 25, 3, 4, 38, 32, 16, 8, 12, 34, 15, 2, 35, 5, 29, 6, 21, 24, 26, 19, 30];3148334;0.29;301.255;20;0.173;[76, 2, 0];EO
[26, 37, 8, 32, 34, 4, 30, 5, 31, 17, 3, 36, 18, 2, 24, 38, 0, 22, 11, 39, 1, 9, 14, 28, 25, 35, 29, 23, 15, 7, 13, 33, 19, 16, 10, 12, 20, 27, 6, 21];3155794;0.52;62.544;20;0.071;[160, 5071, 0];ROTS
[6, 37, 22, 26, 38, 8, 13, 1, 36, 24, 20, 12, 3, 14, 31, 21, 7, 25, 11, 15, 9, 34, 29, 33, 23, 35, 16, 17, 5, 4, 27, 19, 18, 10, 28, 30, 39, 2, 0, 32];3160656;0.68;62.896;20;0.284;[760, 14400, 0];ROTS
[1, 17, 32, 6, 14, 12, 31, 30, 36, 38, 23, 35, 33, 8, 29, 9, 16, 3, 11, 22, 4, 34, 18, 10, 37, 21, 39, 19, 13, 15, 5, 27, 20, 25, 28, 2, 0, 24, 26, 7];3153582;0.45;63.397;20;0.428;[387, 8000, 0];ROTS
[1, 33, 15, 14, 17, 7, 31, 10, 32, 5, 38, 23, 9, 29, 36, 18, 19, 24, 37, 25, 35, 3, 28, 16, 11, 21, 13, 20, 4, 39, 30, 22, 6, 27, 26, 2, 8, 12, 0, 34];3154768;0.49;64.478;20;0.999;[503, 6632, 0];ROTS
[1, 32, 39, 27, 2, 9, 22, 5, 21, 14, 0, 17, 11, 7, 8, 38, 30, 18, 3, 36, 28, 15, 37, 25, 31, 4, 16, 35, 13, 33, 23, 12, 20, 10, 6, 19, 24, 34, 29, 26];3149322;0.32;64.039;20;1.314;[360, 15358, 0];ROTS
[21, 26, 4, 0, 2, 13, 29, 16, 15, 1, 31, 10, 24, 34, 20, 5, 33, 12, 8, 39, 19, 35, 37, 30, 9, 14, 11, 18, 25, 22, 7, 36, 38, 27, 6, 3, 23, 17, 28, 32];3156314;0.54;64.877;20;1.045;[360, 14400, 0];ROTS
[33, 14, 15, 26, 24, 20, 32, 10, 35, 21, 13, 36, 38, 25, 31, 37, 30, 9, 23, 3, 8, 18, 1, 19, 22, 12, 16, 17, 5, 39, 27, 11, 6, 4, 28, 2, 29, 34, 0, 7];3156926;0.56;64.901;20;0.893;[760, 14347, 0];ROTS
[1, 39, 38, 3, 20, 8, 9, 33, 15, 24, 22, 5, 29, 14, 35, 10, 23, 7, 30, 19, 28, 2, 32, 6, 12, 21, 37, 4, 27, 18, 11, 31, 16, 26, 25, 34, 17, 13, 0, 36];3153802;0.46;65.297;20;1.502;[360, 11200, 0];ROTS
[12, 36, 27, 26, 18, 34, 15, 33, 35, 11, 14, 0, 10, 29, 2, 5, 1, 8, 4, 23, 39, 3, 28, 16, 22, 19, 31, 30, 21, 24, 20, 17, 6, 38, 9, 32, 13, 25, 37, 7];3149680;0.33;61.563;20;0.184;[20, 0, 0];EO
[8, 28, 25, 18, 31, 21, 37, 16, 24, 34, 11, 27, 20, 7, 35, 9, 17, 22, 23, 10, 32, 2, 38, 0, 13, 29, 3, 39, 15, 36, 1, 5, 6, 30, 14, 19, 33, 26, 4, 12];3157378;0.57;60.234;20;0.185;[400, 8000, 0];ROTS
[21, 18, 20, 14, 2, 3, 32, 30, 11, 19, 25, 23, 9, 24, 16, 37, 29, 15, 26, 36, 17, 34, 0, 38, 13, 33, 1, 7, 5, 4, 8, 35, 31, 10, 6, 27, 22, 12, 28, 39];3147696;0.27;61.68;20;0.143;[760, 6400, 0];ROTS
