Generation;MultiStart LocalSearch;Robust TabuSearch ;Extremal Optimization;Genetic Algorithm
0;2934080;2936290;2948122;2881134
1;2469364;2456426;2519984;2734662
2;2469364;2440240;2453142;2562526
3;2484570;2450986;2451566;2519718
4;2471650;2451400;2451566;2719014
5;2473632;2447436;2499742;2531654
6;2465742;2433606;2496460;2566272
7;2484570;2437808;2449678;2708634
8;2469364;2442850;2448694;2680640
9;2465696;2440240;2448694;2544662
10;2473632;2432612;2450046;2569416
11;2465696;2432612;2449730;2645636
12;2465742;2437808;2451566;2557798
13;2465696;2437808;2448694;2537328
14;2465696;2432612;2450046;2545774
15;2465742;2432612;2450046;2540524
16;2471650;2433606;2441706;2576340
17;2469364;2436308;2449730;2537330
18;2465742;2437808;2449698;2569228
19;2465742;2437808;2441706;2530314
20;2465742;2437808;2442388;2578272
